session_id,epoch,loss
1,0,0.00041907
1,1,0.00041361
1,2,0.00040817
1,3,0.00040275
1,4,0.00039737
1,5,0.00039204
1,6,0.00038675
1,7,0.00038151
1,8,0.00037632
1,9,0.00037120
2,0,0.00040036
2,1,0.00039571
2,2,0.00039114
2,3,0.00038664
2,4,0.00038223
2,5,0.00037788
2,6,0.00037361
2,7,0.00036940
2,8,0.00036526
2,9,0.00036118
3,0,0.00030031
3,1,0.00029681
3,2,0.00029340
3,3,0.00029008
3,4,0.00028684
3,5,0.00028367
3,6,0.00028057
3,7,0.00027753
3,8,0.00027455
3,9,0.00027163
4,0,0.00153522
4,1,0.00152962
4,2,0.00152329
4,3,0.00151638
4,4,0.00150897
4,5,0.00150118
4,6,0.00149308
4,7,0.00148474
4,8,0.00147622
4,9,0.00146757
5,0,0.00277817
5,1,0.00275743
5,2,0.00273380
5,3,0.00270778
5,4,0.00267983
5,5,0.00265031
5,6,0.00261956
5,7,0.00258785
5,8,0.00255541
5,9,0.00252244
6,0,0.00261115
6,1,0.00257664
6,2,0.00254191
6,3,0.00250708
6,4,0.00247297
6,5,0.00244024
6,6,0.00240763
6,7,0.00237517
6,8,0.00234293
6,9,0.00231092
7,0,0.00218320
7,1,0.00215258
7,2,0.00212236
7,3,0.00209255
7,4,0.00206314
7,5,0.00203414
7,6,0.00200553
7,7,0.00197733
7,8,0.00194952
7,9,0.00192211
8,0,0.00189217
8,1,0.00186553
8,2,0.00183928
8,3,0.00181340
8,4,0.00178790
8,5,0.00176276
8,6,0.00173798
8,7,0.00171356
8,8,0.00168949
8,9,0.00166577
9,0,0.00170500
9,1,0.00168145
9,2,0.00165819
9,3,0.00163521
9,4,0.00161251
9,5,0.00159011
9,6,0.00156799
9,7,0.00154617
9,8,0.00152464
9,9,0.00150340
10,0,0.00146825
10,1,0.00144770
10,2,0.00142745
10,3,0.00140749
10,4,0.00138782
10,5,0.00136843
10,6,0.00134932
10,7,0.00133047
10,8,0.00131190
10,9,0.00129359
11,0,0.00128795
11,1,0.00127005
11,2,0.00125240
11,3,0.00123498
11,4,0.00121781
11,5,0.00120087
11,6,0.00118417
11,7,0.00116770
11,8,0.00115145
11,9,0.00113544
12,0,0.00106721
12,1,0.00105207
12,2,0.00103719
12,3,0.00102257
