timestamp_ms,z1,z2,z3,z4,ground_truth_label
84835,0.000000,0.000000,0.006450,0.000000,0
85085,0.000000,0.000000,0.005882,0.000000,0
85338,0.000000,0.000000,0.005120,0.000000,0
85596,0.000000,0.000000,0.005384,0.000000,0
85845,0.000000,0.000000,0.005663,0.000000,0
86099,0.000000,0.000000,0.003683,0.000000,0
86355,0.000000,0.000000,0.005162,0.000000,0
86609,0.000000,0.000000,0.004599,0.000000,0
86865,0.000000,0.000000,0.005262,0.000000,0
87119,0.000000,0.000000,0.004071,0.000000,0
87391,0.000000,0.000000,0.005167,0.000000,0
87646,0.000000,0.000000,0.005297,0.000000,0
87893,0.000000,0.000000,0.005801,0.000000,0
88147,0.000000,0.000000,0.006253,0.000000,0
88404,0.000000,0.000000,0.004736,0.000000,0
88659,0.000000,0.000000,0.005884,0.000000,0
89025,0.000000,0.000000,0.005974,0.000000,0
89289,0.000000,0.000000,0.005374,0.000000,0
89549,0.000000,0.000000,0.005334,0.000000,0
89804,0.000000,0.000000,0.001952,0.000000,0
90059,0.000000,0.000000,0.006526,0.000000,0
90313,0.000000,0.000000,0.004859,0.000000,0
90569,0.000000,0.000000,0.005844,0.000000,0
90824,0.009033,0.000000,0.000000,0.000000,0
91081,0.000000,0.000000,0.005240,0.000000,0
91332,0.000000,0.000000,0.006549,0.000000,0
91586,0.002112,0.036073,0.000000,0.000000,0
91846,0.001307,0.000000,0.000000,0.000000,0
92096,0.000000,0.000000,0.007133,0.000000,0
92343,0.000000,0.000000,0.004892,0.000000,0
92598,0.000000,0.000000,0.003779,0.000000,0
92856,0.000000,0.121855,0.000000,0.000000,0
93112,0.000000,0.000000,0.005761,0.000000,0
93365,0.000000,0.000000,0.005875,0.000000,0
93735,0.000000,0.000000,0.005451,0.000000,0
93984,0.006795,0.000000,0.000000,0.000000,0
94238,0.000000,0.000000,0.005578,0.000000,0
94498,0.000000,0.000000,0.004863,0.000000,0
94756,0.000000,0.000000,0.006958,0.000000,0
95003,0.000000,0.095737,0.000000,0.000000,0
95264,0.000000,0.000000,0.006345,0.000000,0
95520,0.000000,0.000000,0.006031,0.000000,0
95774,0.000000,0.000000,0.004676,0.000000,0
96028,0.000000,0.000000,0.005947,0.000000,0
96285,0.000000,0.000000,0.006216,0.000000,0
96551,0.000000,0.000000,0.004955,0.000000,0
96812,0.000000,0.000000,0.004421,0.000000,0
97075,0.000000,0.000000,0.005850,0.000000,0
97323,0.000000,0.000000,0.006554,0.000000,0
97579,0.000000,0.000000,0.004632,0.000000,0
97834,0.000000,0.105310,0.000000,0.000000,0
98098,0.000000,0.000000,0.000652,0.000000,0
98454,0.000000,0.000000,0.000184,0.000000,0
98711,0.000000,0.000000,0.000000,0.000000,0
98968,0.000000,0.000000,0.002619,0.000000,0
99226,0.000000,0.000000,0.002591,0.000000,0
99486,0.000000,0.000000,0.004028,0.000000,0
99735,0.000000,0.000000,0.004665,0.000000,0
99989,0.009814,0.000000,0.000000,0.000000,0
100248,0.007114,0.000000,0.000000,0.000000,0
100510,0.000000,0.000000,0.017296,0.000000,0
100763,0.000000,0.000000,0.016466,0.000000,0
101014,0.000000,0.000000,0.016828,0.000000,0
101265,0.000000,0.087690,0.000000,0.000000,0
101529,0.000000,0.000000,0.017977,0.000000,0
101784,0.000000,0.000000,0.017512,0.000000,0
102038,0.000000,0.000000,0.017551,0.000000,0
102294,0.000000,0.000000,0.017364,0.000000,0
102551,0.000000,0.000000,0.017914,0.000000,0
102804,0.000000,0.000000,0.017734,0.000000,0
103163,0.000000,0.000000,0.017221,0.000000,0
103416,0.000000,0.000000,0.016322,0.000000,0
