timestamp_ms,ax,ay,az,gx,gy,gz
2330,0.0481,-0.0261,1.0886,0.2595,-2.4885,-0.9313
2340,0.0635,-0.0593,1.0122,0.2901,-2.7023,-0.9313
2350,0.0525,0.0173,1.0242,0.2748,-2.6260,-0.5802
2360,0.0481,-0.0315,1.0833,0.2443,-2.5191,-1.3130
2370,0.0618,-0.0562,1.0015,0.1679,-2.6870,-0.9924
2380,0.0510,0.0181,1.0317,0.2290,-2.5038,-0.8702
2390,0.0505,-0.0366,1.0815,0.1527,-2.5038,-0.9466
2400,0.0618,-0.0474,0.9995,0.1069,-2.5954,-1.0687
2410,0.0500,0.0183,1.0405,0.1832,-2.4733,-0.8244
2420,0.0518,-0.0439,1.0847,0.2137,-2.5191,-1.1908
2430,0.0605,-0.0474,1.0000,0.2137,-2.6107,-0.9008
2440,0.0486,0.0186,1.0464,0.3206,-2.5038,-1.3130
2451,0.0540,-0.0459,1.0825,0.1985,-2.7023,-0.9008
2460,0.0593,-0.0420,0.9932,0.1221,-2.5191,-0.7786
2470,0.0496,0.0156,1.0510,0.2443,-2.4122,-0.9466
2480,0.0547,-0.0483,1.0762,0.2137,-2.7481,-0.9466
2490,0.0610,-0.0388,0.9907,0.1527,-2.4275,-0.7328
2500,0.0479,0.0176,1.0583,0.1374,-2.5344,-0.7328
2510,0.0547,-0.0527,1.0764,0.2137,-2.7176,-0.9466
2520,0.0605,-0.0334,0.9890,0.2901,-2.4122,-0.8702
2530,0.0562,0.0137,1.0581,0.1679,-2.5802,-0.9008
2540,0.0571,-0.0547,1.0774,0.2748,-2.6260,-0.7328
2550,0.0581,-0.0300,0.9868,0.2748,-2.4275,-0.7328
2560,0.0513,0.0144,1.0679,0.1832,-2.6107,-0.4733
2570,0.0576,-0.0552,1.0723,0.1832,-2.6870,-1.0076
2580,0.0591,-0.0298,0.9902,0.3206,-2.5038,-0.7481
2590,0.0503,0.0146,1.0691,0.2290,-2.7023,-1.0840
2600,0.0557,-0.0552,1.0710,0.2137,-2.5649,-0.4885
2610,0.0598,-0.0269,0.9895,0.2748,-2.4275,-0.9466
2620,0.0540,0.0085,1.0732,0.1527,-2.5954,-0.7939
2630,0.0669,-0.0605,1.0088,0.1985,-2.7176,-0.9008
2640,0.0566,0.0161,1.0188,0.2137,-2.5954,-0.6260
2650,0.0496,-0.0251,1.0876,0.1985,-2.4733,-1.1908
2660,0.0640,-0.0588,1.0088,0.2290,-2.7023,-0.8702
2670,0.0520,0.0142,1.0227,0.2595,-2.5191,-0.9160
2680,0.0537,-0.0291,1.0847,0.2595,-2.5802,-1.0840
2690,0.0642,-0.0583,1.0044,0.2137,-2.7023,-0.4427
2701,0.0513,0.0164,1.0251,0.2901,-2.5191,-1.1603
2710,0.0542,-0.0342,1.0852,0.1221,-2.6412,-0.9466
2720,0.0610,-0.0571,1.0015,0.2290,-2.6260,-0.9160
2730,0.0503,0.0168,1.0239,0.2137,-2.3969,-0.5954
2740,0.0562,-0.0356,1.0835,0.2290,-2.6412,-0.8855
2750,0.0620,-0.0532,1.0015,0.2748,-2.6565,-0.3206
2760,0.0500,0.0156,1.0312,0.1527,-2.4427,-0.7634
2770,0.0554,-0.0354,1.0862,0.1985,-2.7023,-0.8702
2780,0.0645,-0.0532,1.0015,0.3053,-2.7023,-0.6718
2790,0.0583,0.0134,1.0288,0.1069,-2.4885,-0.6718
2800,0.0571,-0.0381,1.0906,0.1679,-2.6718,-1.0229
2810,0.0632,-0.0493,0.9963,0.2290,-2.6260,-0.9618
2820,0.0508,0.0142,1.0312,0.1679,-2.3969,-0.8092
2830,0.0554,-0.0359,1.0889,0.1679,-2.5954,-0.7634
2840,0.0618,-0.0527,0.9990,0.3206,-2.6565,-0.6565
2850,0.0552,0.0132,1.0391,0.2595,-2.5191,-0.5649
2860,0.0559,-0.0371,1.0835,0.1374,-2.5496,-0.7939
2870,0.0654,-0.0498,0.9944,0.2443,-2.6107,-1.0076
2880,0.0544,0.0181,1.0366,0.2443,-2.6107,-0.8702
2890,0.0554,-0.0374,1.0845,0.1832,-2.5802,-1.0992
2900,0.0620,-0.0500,0.9980,0.2901,-2.5802,-0.7176
2910,0.0566,0.0159,1.0425,0.2595,-2.6107,-0.9313
2920,0.0527,-0.0391,1.0840,0.1985,-2.5496,-1.0076
2930,0.0623,-0.0496,0.9961,0.2137,-2.4885,-0.7939
