timestamp_ms,z1,z2,z3,z4,ground_truth_label
43280,0.000000,0.000000,0.005450,0.000000,0
43538,0.000000,0.000000,0.003854,0.000000,0
43791,0.000000,0.000000,0.003938,0.000000,0
44040,0.000000,0.000000,0.005040,0.000000,0
44287,0.000000,0.000000,0.003640,0.000000,0
44543,0.000000,0.000000,0.004518,0.000000,0
44799,0.000000,0.000000,0.003851,0.000000,0
45054,0.000000,0.000000,0.003540,0.000000,0
45308,0.000000,0.000000,0.004359,0.000000,0
45562,0.000000,0.000000,0.003112,0.000000,0
45817,0.000000,0.000000,0.005468,0.000000,0
46072,0.000000,0.000000,0.002085,0.000000,0
46327,0.000000,0.000000,0.005008,0.000000,0
46582,0.000000,0.000000,0.003293,0.000000,0
46838,0.000000,0.000000,0.003861,0.000000,0
47087,0.000000,0.000000,0.005228,0.000000,0
47448,0.000000,0.000000,0.004788,0.000000,0
47700,0.000000,0.000000,0.002841,0.000000,0
47954,0.000000,0.000000,0.005958,0.000000,0
48209,0.000000,0.000000,0.002910,0.000000,0
48457,0.000000,0.000000,0.004869,0.000000,0
48715,0.000000,0.000000,0.002639,0.000000,0
48978,0.000000,0.000000,0.003681,0.000000,0
49233,0.000000,0.000000,0.003683,0.000000,0
49488,0.000000,0.000000,0.005049,0.000000,0
49742,0.000000,0.000000,0.003874,0.000000,0
49998,0.000000,0.000000,0.004628,0.000000,0
50254,0.000000,0.000000,0.003113,0.000000,0
50516,0.000000,0.000000,0.004934,0.000000,0
50771,0.000000,0.000000,0.004216,0.000000,0
51033,0.000000,0.000000,0.004583,0.000000,0
51289,0.000000,0.000000,0.005461,0.000000,0
51653,0.000000,0.000000,0.004314,0.000000,0
51909,0.000000,0.000000,0.004765,0.000000,0
52163,0.000000,0.000000,0.004546,0.000000,0
52419,0.000000,0.000000,0.005253,0.000000,0
52670,0.000000,0.000000,0.005522,0.000000,0
52918,0.000000,0.000000,0.005127,0.000000,0
53174,0.000000,0.000000,0.004360,0.000000,0
53429,0.000000,0.000000,0.004608,0.000000,0
53683,0.000000,0.000000,0.005146,0.000000,0
53939,0.000000,0.000000,0.004465,0.000000,0
54189,0.000000,0.000000,0.004649,0.000000,0
54441,0.000000,0.000000,0.004584,0.000000,0
54689,0.000000,0.000000,0.004579,0.000000,0
54951,0.000000,0.000000,0.004565,0.000000,0
55211,0.000000,0.000000,0.004352,0.000000,0
55467,0.000000,0.000000,0.005009,0.000000,0
55830,0.000000,0.000000,0.005220,0.000000,0
56080,0.000000,0.000000,0.005358,0.000000,0
56327,0.000000,0.000000,0.006201,0.000000,0
56592,0.000000,0.000000,0.005368,0.000000,0
56848,0.000000,0.000000,0.005480,0.000000,0
57103,0.000000,0.000000,0.005032,0.000000,0
57358,0.000000,0.000000,0.004522,0.000000,0
57620,0.000000,0.000000,0.004933,0.000000,0
57878,0.000000,0.000000,0.005411,0.000000,0
58134,0.000000,0.000000,0.005053,0.000000,0
58387,0.000000,0.000000,0.004512,0.000000,0
58648,0.000000,0.000000,0.005132,0.000000,0
58903,0.000000,0.000000,0.005661,0.000000,0
59160,0.000000,0.000000,0.005838,0.000000,0
59408,0.000000,0.000000,0.005429,0.000000,0
59663,0.000000,0.000000,0.004505,0.000000,0
